model	seed	epoch	acc	pre	rec	f1
bert	2	8	0.9599531920426472	0.768025078369906	0.5932203389830508	0.6693989071038251
bert	2	9	0.9602132362501624	0.758887171561051	0.5944309927360775	0.6666666666666666
bert	2	10	0.9599531920426472	0.7537764350453172	0.6041162227602905	0.6706989247311828
distilbert	3407	1	0.9361591470549994	0.5815384615384616	0.2288135593220339	0.32841007819287577
distilbert	3407	2	0.947796125341308	0.7584650112866818	0.4067796610169492	0.5295508274231678
distilbert	3407	3	0.9561175399817969	0.6816770186335404	0.5314769975786925	0.5972789115646259
distilbert	3407	4	0.9567676505005851	0.6880733944954128	0.5447941888619855	0.6081081081081081
distilbert	3407	5	0.9559225068261604	0.6900763358778625	0.5472154963680388	0.6103983794733288
distilbert	3407	6	0.9548173189442205	0.7038834951456311	0.5266343825665859	0.6024930747922437
distilbert	3407	7	0.9568976726043428	0.6773255813953488	0.5641646489104116	0.6155878467635403
distilbert	3407	8	0.9563775841893122	0.6904761904761905	0.5617433414043583	0.6194926568758345
distilbert	3407	9	0.957157716811858	0.683982683982684	0.5738498789346247	0.6240947992100065
distilbert	3407	10	0.957157716811858	0.686046511627907	0.5714285714285714	0.6235138705416116
distilbert	42	1	0.9412300091015473	0.589098532494759	0.34019370460048426	0.4313123561013047
distilbert	42	2	0.9464308932518528	0.7607655502392344	0.38498789346246975	0.5112540192926045
distilbert	42	3	0.9565076062930699	0.6775106082036775	0.5799031476997578	0.6249184605348989
distilbert	42	4	0.9551423742036146	0.7196110210696921	0.5375302663438256	0.6153846153846154
distilbert	42	5	0.9580028604862827	0.6788218793828892	0.585956416464891	0.6289798570500325
distilbert	42	6	0.9580678715381615	0.6771545827633378	0.5992736077481841	0.6358381502890174
distilbert	42	7	0.9566376283968274	0.6867647058823529	0.5653753026634383	0.6201859229747676
distilbert	42	8	0.9572877389156157	0.6867816091954023	0.5786924939467313	0.6281208935611038
distilbert	42	9	0.9570927057599792	0.6982248520710059	0.5714285714285714	0.6284953395472703
distilbert	42	10	0.9574177610193733	0.6854256854256854	0.5750605326876513	0.6254114549045424
distilbert	522	1	0.9403198543752438	0.5805084745762712	0.33171912832929784	0.4221879815100154
distilbert	522	2	0.9505265895202184	0.6936936936936937	0.4661016949152542	0.55756698044895
distilbert	522	3	0.9548173189442205	0.6829268292682927	0.5423728813559322	0.6045883940620783
distilbert	522	4	0.9580028604862827	0.6721763085399449	0.5907990314769975	0.6288659793814432
distilbert	522	5	0.9557924847224029	0.6806853582554517	0.5290556900726392	0.595367847411444
distilbert	522	6	0.9574177610193733	0.6940298507462687	0.562953995157385	0.6216577540106951
distilbert	522	7	0.9576127941750098	0.6639455782312925	0.5907990314769975	0.6252402306213964
distilbert	522	8	0.9572877389156157	0.6776504297994269	0.572639225181598	0.6207349081364829
distilbert	522	9	0.9570276947081003	0.6771879483500718	0.5714285714285714	0.6198292843072882
distilbert	522	10	0.9570927057599792	0.6742532005689901	0.5738498789346247	0.6200130804447351
distilbert	227	1	0.9339487712911195	0.6171003717472119	0.2009685230024213	0.30319634703196346
distilbert	227	2	0.951046677935249	0.6643717728055077	0.46731234866828086	0.548685145700071
distilbert	227	3	0.9525419321284618	0.717391304347826	0.4794188861985472	0.5747460087082729
distilbert	227	4	0.9569626836562215	0.6719424460431654	0.5653753026634383	0.6140696909927679
distilbert	227	5	0.9567026394487063	0.6916167664670658	0.559322033898305	0.6184738955823292
distilbert	227	6	0.9579378494344039	0.6626826029216467	0.6041162227602905	0.6320455984800507
distilbert	227	7	0.9583279157456768	0.6988472622478387	0.5871670702179177	0.638157894736842
distilbert	227	8	0.9581978936419191	0.6875871687587168	0.5968523002421308	0.6390149060272198
distilbert	227	9	0.9587179820569497	0.6908077994428969	0.6004842615012107	0.6424870466321244
distilbert	227	10	0.9584579378494344	0.6915492957746479	0.5944309927360775	0.6393229166666666
distilbert	2	1	0.9378494344038486	0.5815217391304348	0.25907990314769974	0.35845896147403683
distilbert	2	2	0.9479261474450656	0.7204081632653061	0.42736077481840196	0.5364741641337386
distilbert	2	3	0.9535821089585229	0.6932203389830508	0.49515738498789347	0.577683615819209
distilbert	2	4	0.9567676505005851	0.7058823529411765	0.5375302663438256	0.6103092783505155
distilbert	2	5	0.957872838382525	0.6890156918687589	0.5847457627118644	0.6326129666011787
distilbert	2	6	0.9590430373163438	0.7039187227866474	0.5871670702179177	0.6402640264026404
distilbert	2	7	0.9586529710050709	0.6868965517241379	0.6029055690072639	0.6421663442940039
distilbert	2	8	0.9583279157456768	0.7174556213017751	0.5871670702179177	0.6458055925432756
distilbert	2	9	0.957872838382525	0.7097744360902256	0.5714285714285714	0.6331321260898726
distilbert	2	10	0.9581978936419191	0.6960227272727273	0.5932203389830508	0.6405228758169935
